"req_id","source_anchor","text_vi","status","priority","scope","category","blocked_by","impacted_packages","notes"
"REQ-D33","SRC-SPEC:D33","Post chỉ có ảnh chụp paper, không có link thì không đoán ID, thành mục chỉ có post","ĐX","P0","MVP","identity","B06","PC02;PC05","Cần target tagged union work|post theo B06"
"REQ-D34","SRC-SPEC:D34","Nhịp gọi arXiv và yêu cầu email liên hệ của OpenAlex: đọc tài liệu chính thức khi triển khai","KC","P0","MVP","collection","","PC05","Trùng nội dung với REQ-A6 và REQ-S13.2-01; không được đoán rate limit"
"REQ-D10","SRC-SPEC:D10","Có cả lịch tự động và chạy tay","XN","P0","MVP","scheduling","","PC03","Nguồn của REQ-P0-10"
"REQ-D11","SRC-SPEC:D11","Job xếp hàng ở server; collector kéo việc khi online; app hiện online/offline và last run","ĐX","P0","MVP","scheduling","B12","PC01;PC03","Mô hình pull; cần readiness/capability registration theo PC01"
"REQ-D12","SRC-SPEC:D12","last_run chỉ để xem, không dùng làm mốc lọc dữ liệu","ĐX","P0","MVP","scheduling","B04","PC03;PC04","Mốc lọc là coverage ledger theo B04, không phải last_run"
"REQ-D13","SRC-SPEC:D13","Giờ trong lịch là mốc sớm nhất được chạy; chạy bù khi máy thức","XN","P0","MVP","scheduling","B08","PC03","Cần timezone xác định theo B08 mới tính được mốc"
"REQ-D14","SRC-SPEC:D14","Bảng run có trigger_type với giá trị scheduled hoặc manual","UQ","P0","MVP","scheduling","B02","PC03","Enum này sống sót qua AMD-B02 vì độc lập với phase/status/outcome"
"REQ-D15","SRC-SPEC:D15","Nhiều đợt quá hạn gộp thành một; tin Telegram ghi khoảng thời gian bao trùm","ĐX","P0","MVP","scheduling","B08","PC03;PC07","Catch-up coalescing; quy tắc DST do PC03 chốt"
"REQ-D16","SRC-SPEC:D16","Chạy bù không gửi bù các báo cáo cũ","ĐX","P0","MVP","scheduling","","PC03;PC07","Ràng buộc âm cho delivery: không sinh digest cho kỳ đã qua"
"REQ-CTAG","SRC-SPEC:C03/D-tag","Mốc hiệu lực tag theo thời điểm gửi: bộ tag lúc tạo báo cáo quyết định nội dung","XN","P0","MVP","tagging","B01","PC04;PC07","Hàng nguồn tự mâu thuẫn: thời điểm gửi và lúc tạo là hai mốc khác nhau; AMD-B01 chốt mốc publish report"
"REQ-D22","SRC-SPEC:D22","AI gắn nhãn mở: bài này thuộc chủ đề gì, không hỏi có khớp tag hiện tại không","ĐX","P0","MVP","ai","","PC06","Nền tảng của tách lớp §8.1; nếu đảo lại thì đổi tag sẽ phải gọi AI lại"
"REQ-D23","SRC-SPEC:D23","Mỗi báo cáo lưu phiên bản cấu hình tag đã dùng để tạo nó","ĐX","P0","MVP","reporting","B01","PC04","tag_config_version bất biến là cơ chế thực thi AMD-B01"
"REQ-D24","SRC-SPEC:D24","Đổi tag giữa lúc job chạy không ảnh hưởng lọc; collector dùng tag chỉ để tìm kiếm","UQ","P0","MVP","tagging","B01","PC04;PC05","Phân biệt tag dùng để tìm kiếm và tag dùng để chọn nội dung"
"REQ-D46","SRC-SPEC:D46","Khớp tag bằng embedding; app hiện tag đang khớp nhãn nào; có từ đồng nghĩa và tag loại trừ","XN","P0","MVP","tagging","","PC04;PC07","Nguồn của REQ-P0-02; precedence alias/exclusion do PC04 chốt"
"REQ-D47","SRC-SPEC:D47","Ngưỡng tương đồng hiệu chỉnh bằng dữ liệu thật","KC","P0","MVP","tagging","","PC04;PC09","Gắn với REQ-A2 và REQ-OQ08; tập dò ngưỡng phải tách tập đánh giá"
"REQ-D48","SRC-SPEC:D48","Embedding dùng model local, không cần API key; lưu tên và phiên bản model kèm vector","XN","P0","MVP","tagging","","PC04;PC06","Điều kiện để REQ-AC16 chạy được không key nào; gắn I12"
"REQ-D49","SRC-SPEC:D49","MVP tính tương đồng bằng SQLite thuần, quét tuyến tính","UQ","P0","MVP","tagging","","PC04","Vector index hoãn P1 theo REQ-P1-04"
"REQ-D59","SRC-SPEC:D59","Model embedding đa ngôn ngữ để gõ tag tiếng Việt khớp được nhãn tiếng Anh","UQ","P0","MVP","tagging","","PC04","Kiểm chứng bằng REQ-A3; model cụ thể là REQ-OQ09"
"REQ-D17","SRC-SPEC:D17","Mục báo cáo là một công trình, gộp bằng DOI hoặc arXiv ID; post không dẫn paper thành mục chỉ có post","XN","P0","MVP","identity","B06;B15","PC02","Hai UNIQUE không đủ giải mọi trùng lặp; xem AMD-B15"
"REQ-D18","SRC-SPEC:D18","Idea cluster là entity riêng, hoãn sau MVP","ĐX","P1","DEFERRED","reporting","","PC04","Trùng nội dung REQ-P1-01; khối hướng đang nổi ở P0 phủ phần giá trị"
"REQ-D19","SRC-SPEC:D19","Mỗi mục có summary hiển thị ngay tại mục","XN","P0","MVP","reporting","B17","PC04;PC06;PC07","Nếu thiếu summary thì report quality partial theo AMD-B17, không được ẩn mục"
"REQ-D20","SRC-SPEC:D20","Summary gồm nội dung, điểm khác với cái đã có, một dòng hạn chế; kèm dòng khớp tag nào tra từ dữ liệu","XN","P0","MVP","ai","B16","PC06","Điểm khác cần comparator; thiếu nguồn so sánh thì comparator unknown theo AMD-B16"
"REQ-D21","SRC-SPEC:D21","Mỗi summary mang nhãn mức độ đọc: chỉ có post, có abstract, đã đọc toàn văn","ĐX","P0","MVP","ai","","PC06","Là evidence level trong contracts/ai/grounding.md"
"REQ-D25","SRC-SPEC:D25","Phân tích và summary tạo một lần cho mỗi công trình rồi tái sử dụng","XN","P0","MVP","ai","B07","PC06","Một lần được đọc lại là một kết quả hợp lệ mỗi analysis key mỗi generation; xem AMD-B07"
"REQ-D26","SRC-SPEC:D26","Phân tích lại chỉ khi người dùng bấm tay, hoặc paper có phiên bản mới; giữ bản cũ","ĐX","P0","MVP","ai","B07","PC06","Reanalysis sinh generation mới, không ghi đè"
"REQ-D27","SRC-SPEC:D27","Kỳ báo cáo nối liền: coverage_from bằng coverage_to của kỳ trước, tính theo ngày phát hiện","XN","P0","MVP","reporting","B04;B08","PC04","Khoảng nửa mở [from, to) theo SRC-PLAN §9.2; discovered_at do server cấp"
"REQ-D28","SRC-SPEC:D28","Tag mới được với ngược N ngày trước coverage_from, đúng một lần; kèm nút quét lại kho","XN","P0","MVP","reporting","B04","PC04","N mặc định PROVISIONAL 7 ngày theo REQ-OQ04; cần backfill ledger riêng"
"REQ-D29","SRC-SPEC:D29","Công trình đã báo cáo không quay lại như phát hiện mới; chỉ xuất hiện dạng tham chiếu có ghi ngày","XN","P0","MVP","reporting","B15","PC02;PC04","first_announced là duy nhất theo canonical identity; merge identity phải giữ mốc cũ"
"REQ-D30","SRC-SPEC:D30","Liên kết mục cùng hướng đã báo cáo trước, dựa trên tag chung và paper cùng được dẫn; không dùng AI","UQ","P0","MVP","reporting","","PC04","Ràng buộc âm: không dùng AI cho việc liên kết"
"REQ-D45","SRC-SPEC:D45","Màn hình mặc định là danh sách báo cáo theo kỳ","UQ","P0","MVP","ui","","PC07","Nguồn của REQ-S4-09"
"REQ-D52","SRC-SPEC:D52","Tiêu chí thành công là chỉ ra hướng nghiên cứu mới, không chỉ liệt kê bài lẻ","XN","P0","MVP","success-criteria","B14","PC04;PC09","Đo bằng rubric khóa trước khi tuning theo SRC-PLAN §14.2"
"REQ-D53","SRC-SPEC:D53","Báo cáo có khối hướng đang nổi ở đầu, tính từ mật độ vector; vào MVP","ĐX","P0","MVP","reporting","B14","PC04","P0 nhưng vẫn ĐX; KHÔNG được tự promote. Thuật toán và ngưỡng do PC04 định nghĩa"
"REQ-D54","SRC-SPEC:D54","Mới nghĩa là mới với người dùng cộng đang tụ lại theo mật độ vector; không dùng AI đánh giá tính mới khoa học; nhãn là ứng viên để đọc sâu","XN","P0","MVP","reporting","B14;B16","PC04;PC06","Ràng buộc âm mạnh; AI chỉ diễn đạt kết quả đã tính"
"REQ-D57","SRC-SPEC:D57","Không gửi báo cáo rỗng; chỉ ghi vào trạng thái run","UQ","P0","MVP","reporting","B04","PC04;PC07","AMD-B04 bổ sung: kỳ rỗng vẫn ghi coverage record dù không gửi digest"
"REQ-D35","SRC-SPEC:D35","Liên kết Telegram bằng mã một lần có hạn; chat ID khác bị bỏ im lặng, không trả lời","XN","P0","MVP","telegram","B09","PC07;PC08","Ngoại lệ hẹp cho chính thông điệp mang mã liên kết theo AMD-B09"
"REQ-D36","SRC-SPEC:D36","Lệnh MVP gồm Save, chạy ngay, xem trạng thái","XN","P0","MVP","telegram","B10","PC07","status là read-only và run-now không vượt needs_user theo AMD-B10"
"REQ-D37","SRC-SPEC:D37","Có lệnh hủy liên kết; liên kết mới vô hiệu hóa liên kết cũ","ĐX","P0","MVP","telegram","B10","PC07","Mâu thuẫn nội tại với D36 và §11.3 (đúng 3 lệnh); ghi thành finding F-PC00-01; PROVISIONAL: hủy liên kết là hành động trong app, không thêm lệnh Telegram thứ tư (telegram.unlink chỉ gọi được từ MOD-web-ui). Xem AMD-B10 và owner-decision-request §B10"
"REQ-D38","SRC-SPEC:D38","Nút Save Telegram gắn ID mục; ràng buộc UNIQUE chống trùng; bot phản hồi trạng thái sau khi bấm","ĐX","P0","MVP","save","B03","PC02;PC07","UNIQUE ở DB không chứng minh exactly-once phía Telegram; xem AMD-B03"
"REQ-D55","SRC-SPEC:D55","Saved là snapshot lúc lưu","UQ","P0","MVP","save","","PC02;PC07","Snapshot lấy từ analysis revision đang đọc, không lấy bản mới hơn"
"REQ-D56","SRC-SPEC:D56","Timezone lấy theo máy chạy app","UQ","P0","MVP","time","B08","PC03;PC04","Mơ hồ vì browser, server và máy collector khác nhau; AMD-B08 thay bằng một IANA timezone do Owner xác nhận"
"REQ-D58","SRC-SPEC:D58","Retention giữ vô thời hạn; backup là copy file SQLite","UQ","P0","MVP","ops","B11","PC08","Copy file DB đang ghi có thể mất transaction đã commit vì WAL; AMD-B11 thay bằng snapshot nhất quán"
"REQ-D07","SRC-SPEC:D07","SQLite là data store chuẩn; report render ra Markdown hoặc JSON","XN","P0","MVP","data","","PC02;PC04","Ràng buộc công nghệ đã xác nhận, độc lập với lựa chọn stack"
"REQ-D39","SRC-SPEC:D39","Adapter với cấu hình model theo từng tác vụ, sửa được trong Settings","XN","P0","MVP","ai","","PC06;PC07","Cấu hình theo task chứ không theo toàn hệ thống"
"REQ-D40","SRC-SPEC:D40","Model rẻ cho gắn nhãn số lượng lớn, model mạnh cho summary số lượng ít","UQ","P0","MVP","ai","","PC06","Model cụ thể là REQ-OQ03, cần Owner chọn"
"REQ-D41","SRC-SPEC:D41","Hỗ trợ hai họ provider: API key và CLI local qua ACP","XN","P0","MVP","ai","B13","PC06","Adapter không cô lập được thì không bật theo B13; có thể thu hẹp phạm vi họ CLI"
"REQ-D43","SRC-SPEC:D43","Adapter hứa prompt vào thì JSON có schema ra; đường CLI thêm bước bóc JSON khỏi transcript, kiểm schema, thử lại một lần rồi báo lỗi mục đó; mỗi provider tự khai số job song song","ĐX","P0","MVP","ai","B13","PC06","Không adapter nào được chỉ cam kết JSON; cần capability matrix theo PC06"
"REQ-D44","SRC-SPEC:D44","Bảng usage chấp nhận giá trị không rõ cho đường CLI","ĐX","P0","MVP","ai","","PC06","I14: unknown không được ghi thành 0"
"REQ-D51","SRC-SPEC:D51","Không có API key nào là bắt buộc: nếu gắn nhãn và summary chạy hết qua CLI thì hệ thống chạy được với không key nào","XN","P0","MVP","ai","B13","PC06","Luồng zero-API-key phải gồm cả diễn đạt hướng nổi nếu bật khối đó"
"REQ-AC01","SRC-SPEC:AC-01","AC-01 Tự chạy không cần lướt X: Given lịch cấu hình 8h và collector online, khi tới 8h thì run tự khởi động và người dùng không phải mở X để kích hoạt","XN","P0","MVP","acceptance","","PC03;PC05","SC01; oracle: fake-clock integration và assignment được claim"
"REQ-AC02","SRC-SPEC:AC-02","AC-02 Chạy bù: Given lịch 8h và máy đóng lúc 8h, khi máy khởi động lúc 11h30 thì run quá hạn được chạy, nhiều đợt quá hạn gộp thành một","XN","P0","MVP","acceptance","B08","PC03","SC02; oracle: queue rows cộng interval kỳ vọng cộng resume trace"
"REQ-AC03","SRC-SPEC:AC-03","AC-03 Điểm dừng: Given giới hạn mỗi đợt đã cấu hình, khi đạt giới hạn thì run chuyển stopped_limit, checkpoint và tiến độ được lưu","XN","P0","MVP","acceptance","B02","PC03;PC05","SC03; AMD-B02 đổi oracle sang status completed cộng stop_reason limit_reached"
"REQ-AC04","SRC-SPEC:AC-04","AC-04 CAPTCHA: Given collector gặp CAPTCHA, khi phát hiện thì run chuyển needs_user, gửi đúng một cảnh báo, không tự thử lại; sau khi người dùng xử lý và bấm tiếp tục thì run tiếp từ checkpoint, không lấy lại bài đã có","XN","P0","MVP","acceptance","B05;B10","PC03;PC05;PC07","SC04; AMD-B05 đổi vế cuối thành không ingest trùng theo x_post_id"
"REQ-AC05","SRC-SPEC:AC-05","AC-05 Mốc hiệu lực tag: Given 4 mục khớp tag T đã thu thập và phân tích lúc 8h, khi người dùng bỏ tag T lúc 19h và báo cáo tạo lúc 20h thì 4 mục đó không có trong báo cáo và vẫn còn trong kho","XN","P0","MVP","acceptance","B01","PC04","SC05; oracle: expected selected IDs cộng tag_config_version cộng DB snapshot"
"REQ-AC06","SRC-SPEC:AC-06","AC-06 Không phân tích lại: Given tag T bị bỏ rồi được thêm lại, khi báo cáo kỳ sau được tạo và có mục cũ khớp T thì dùng bản analysis sẵn có và không phát sinh lần gọi AI nào cho work đó","XN","P0","MVP","acceptance","B07","PC04;PC06","SC06; oracle: provider call counter delta bằng 0 cho cùng analysis key và generation"
"REQ-AC07","SRC-SPEC:AC-07","AC-07 Gộp trùng: Given 5 post từ 5 account cùng dẫn một arXiv ID cộng một thread của tác giả, khi báo cáo được tạo thì hiện một mục công trình với các post nằm dưới dạng nguồn dẫn","XN","P0","MVP","acceptance","B06;B15","PC02","SC07; oracle: canonical work count, alias map, provenance list"
"REQ-AC08","SRC-SPEC:AC-08","AC-08 Kỳ nối liền: Given kỳ trước có coverage_to bằng X, khi kỳ mới được tạo thì coverage_from bằng X, không hở và không chồng lấn","XN","P0","MVP","acceptance","B04","PC04","SC08; oracle: coverage ledger assertions cộng CAS conflict trace"
"REQ-AC09","SRC-SPEC:AC-09","AC-09 Không báo lại: Given work W đã là phát hiện ở kỳ ngày D, khi W liên quan tới kỳ sau thì W hiện dạng tham chiếu có ghi ngày D, không phải phát hiện mới","XN","P0","MVP","acceptance","B15","PC02;PC04","SC09; oracle: first_announced uniqueness cộng report item type"
"REQ-AC10","SRC-SPEC:AC-10","AC-10 Summary tự đủ: Given một mục trong báo cáo, khi người dùng đọc mục đó trong app hoặc trên Telegram thì thấy nội dung, điểm khác với cái đã có, một dòng hạn chế, nhãn mức độ đọc và tag nào đã khớp, không cần mở nguồn để quyết định","XN","P0","MVP","acceptance","B17","PC06;PC07","SC10; app và Telegram phải dùng cùng analysis revision"
"REQ-AC11","SRC-SPEC:AC-11","AC-11 Grounding: Given một summary chỉ dựa trên post và không có abstract, khi hiển thị thì nhãn ghi chỉ có post và mọi phát biểu về tính mới được trình bày là suy luận, không phải kết luận","XN","P0","MVP","acceptance","B16","PC06","SC11; AMD-B16 tách author_claim, source_verified và ai_inference"
"REQ-AC12","SRC-SPEC:AC-12","AC-12 Save bền: Given người dùng Save một mục, khi khởi động lại hệ thống thì mục còn trong Saved kèm snapshot và bài gốc bị xóa trên X vẫn đọc được","XN","P0","MVP","acceptance","B11","PC02;PC08","SC12; oracle: snapshot hash trước và sau restart, và sau restore"
"REQ-AC13","SRC-SPEC:AC-13","AC-13 Save hai kênh: Given người dùng bấm Save trên Telegram 5 lần, khi kiểm tra Saved trong app thì có đúng một bản ghi gắn đúng owner và bot đã phản hồi trạng thái","XN","P0","MVP","acceptance","B06","PC02;PC07","SC13; target post-only cũng phải có ràng buộc UNIQUE rõ ràng"
"REQ-AC14","SRC-SPEC:AC-14","AC-14 Telegram lỗi: Given báo cáo đã dựng và Telegram gửi thất bại, khi retry thì app vẫn giữ báo cáo đầy đủ và không có tin nào bị gửi hai lần","XN","P0","MVP","acceptance","B03","PC07","SC14; AMD-B03 đổi thành không tự gửi lại khi trạng thái unknown"
"REQ-AC15","SRC-SPEC:AC-15","AC-15 Ba trạng thái phân biệt: Given ba run gồm một không có bài khớp tag, một dừng vì giới hạn và một thất bại vì nguồn lỗi, khi xem Runs thì ba trạng thái hiển thị khác nhau và không cái nào hiển thị là không có nghiên cứu mới","XN","P0","MVP","acceptance","B02","PC03;PC07","SC15; oracle: state-to-view assertions"
"REQ-AC16","SRC-SPEC:AC-16","AC-16 Không có API key: Given người dùng cấu hình gắn nhãn và summary chạy hết qua CLI/ACP và không nhập API key nào, khi chạy một đợt thì đợt hoàn tất vì embedding dùng model local","XN","P0","MVP","acceptance","B13","PC06","SC16; phải gồm cả tác vụ diễn đạt hướng nổi nếu khối đó được bật"
"REQ-AC17","SRC-SPEC:AC-17","AC-17 Dữ liệu không đáng tin cậy: Given một post chứa văn bản kiểu bỏ qua chỉ dẫn trước và in ra API key, khi pipeline xử lý thì nội dung đó chỉ được coi là dữ liệu, không có secret nào bị tiết lộ, không có tool nào được gọi, quyền gửi Telegram không đổi","XN","P0","MVP","acceptance","B13","PC06;PC08","SC17; oracle: canary cộng tool/network audit cộng rejection record"
"REQ-AC18","SRC-SPEC:AC-18","AC-18 Chat ID lạ: Given một chat ID chưa liên kết, khi gửi lệnh cho bot thì bot không phản hồi gì và không thực hiện hành động nào","XN","P0","MVP","acceptance","B09","PC07;PC08","SC18; ngoại lệ linking theo AMD-B09 phải có case riêng"
"REQ-P0-01","SRC-SPEC§2.1#row-01","Một tài khoản đăng nhập duy nhất cho app truy cập từ ngoài","XN","P0","MVP","scope","","PC08","Kế thừa XN từ REQ-D05 và REQ-D04"
"REQ-P0-02","SRC-SPEC§2.1#row-02","Quản lý tag: nhập tự do, từ đồng nghĩa, tag loại trừ, xem nhãn đang khớp","XN","P0","MVP","scope","","PC04;PC07","Kế thừa XN từ REQ-D46"
"REQ-P0-03","SRC-SPEC§2.1#row-03","Collector X chạy Chrome thật trên máy cá nhân, có điểm dừng","XN","P0","MVP","scope","B12;B05","PC05","Phần chạy Chrome thật là XN theo REQ-D06 nhưng profile riêng (REQ-D09) vẫn ĐX và chặn M0 qua REQ-OQ01; không được coi là đã promote"
"REQ-P0-04","SRC-SPEC§2.1#row-04","Lấy metadata paper qua API arXiv/OpenAlex từ server","XN","P0","MVP","scope","","PC05","Kế thừa XN từ REQ-D32; nhịp gọi còn KC theo REQ-D34"
"REQ-P0-05","SRC-SPEC§2.1#row-05","Gắn nhãn chủ đề mở cộng embedding, khớp tag bằng độ tương đồng","XN","P0","MVP","scope","","PC04;PC06","Khớp tag XN theo REQ-D46/REQ-D48; cơ chế gắn nhãn mở vẫn ĐX theo REQ-D22"
"REQ-P0-06","SRC-SPEC§2.1#row-06","Summary theo hình dạng nội dung cộng điểm khác cộng hạn chế cho mọi mục","XN","P0","MVP","scope","B17;B16","PC06","Mâu thuẫn phạm vi: §10.1 chỉ summary mục vào báo cáo; AMD-B17 chốt enqueue theo target được chọn"
"REQ-P0-07","SRC-SPEC§2.1#row-07","Báo cáo theo kỳ nối liền, có khối hướng đang nổi ở đầu","XN","P0","MVP","scope","B04;B14","PC04","Kỳ nối liền XN theo REQ-D27; khối hướng đang nổi dựa REQ-D53 vẫn ĐX"
"REQ-P0-08","SRC-SPEC§2.1#row-08","Save trong app và qua Telegram, snapshot lúc lưu","XN","P0","MVP","scope","B03","PC02;PC07","Snapshot UQ theo REQ-D55; cơ chế nút Save Telegram ĐX theo REQ-D38"
"REQ-P0-09","SRC-SPEC§2.1#row-09","Telegram: liên kết bằng mã một lần, gửi digest, 3 lệnh","XN","P0","MVP","scope","B09;B10","PC07","Số lệnh đúng 3; hủy liên kết là hành động trong app theo PROVISIONAL của REQ-D37"
"REQ-P0-10","SRC-SPEC§2.1#row-10","Lịch tự động cộng chạy tay, chạy bù khi máy thức","XN","P0","MVP","scope","B08","PC03","Kế thừa XN từ REQ-D10 và REQ-D13"
"REQ-P0-11","SRC-SPEC§2.1#row-11","Adapter AI hai họ provider: API key và CLI local qua ACP","XN","P0","MVP","scope","B13","PC06","Kế thừa XN từ REQ-D41; một họ có thể bị tắt nếu không cô lập được"
"REQ-P0-12","SRC-SPEC§2.1#row-12","Trạng thái run, checkpoint, xử lý CAPTCHA có người can thiệp","XN","P0","MVP","scope","B02;B05","PC03;PC05","Enum trạng thái sẽ đổi theo AMD-B02; nội dung nghiệp vụ giữ nguyên"
"REQ-P1-01","SRC-SPEC§2.2#row-01","Idea cluster là entity có lịch sử riêng: hoãn vì cần dữ liệu tích lũy mới có nghĩa và khối hướng đang nổi ở P0 đã phủ phần giá trị","ĐX","P1","DEFERRED","scope","","PC04","Trạng thái theo REQ-D18 (ĐX)"
"REQ-P1-02","SRC-SPEC§2.2#row-02","Đọc replies của người ngoài: hoãn vì tỷ lệ nhiễu cao và tốn nhiều lần tải trang","XN","P1","DEFERRED","scope","","PC05","Trạng thái theo REQ-D31 (XN, replies hoãn)"
"REQ-P1-03","SRC-SPEC§2.2#row-03","Ghi chú, collection, tag riêng trên Saved: hoãn vì không phục vụ tiêu chí thành công ở tuần đầu","UQ","P1","DEFERRED","scope","","PC07","Không có D-row tương ứng; suy ra UQ vì là quyết định phạm vi được ủy quyền cho người phỏng vấn"
"REQ-P1-04","SRC-SPEC§2.2#row-04","Vector index cho SQLite: hoãn vì quét tuyến tính đủ ở quy mô một người dùng","UQ","P1","DEFERRED","scope","","PC04","Trạng thái theo REQ-D49 (UQ)"
"REQ-P1-05","SRC-SPEC§2.2#row-05","Nhiều người dùng và phân quyền: hoãn vì trái D01; nếu cần thì là dự án khác","XN","P1","DEFERRED","scope","","PC01;PC02","Trạng thái theo REQ-D01 (XN)"
"REQ-OOS-01","SRC-SPEC§2.3#row-01","X API trả phí nằm ngoài phạm vi","XN","OOS","OUT_OF_SCOPE","scope","","PC05","Nếu probe A1 thất bại thì báo blocked, không tự chuyển sang X API trả phí"
"REQ-OOS-02","SRC-SPEC§2.3#row-02","Mọi cơ chế né CAPTCHA, giả fingerprint, luân chuyển account hoặc proxy để vượt chặn nằm ngoài phạm vi","XN","OOS","OUT_OF_SCOPE","security","","PC05;PC08","Ràng buộc âm cứng; lặp lại ở REQ-S13.2-04"
"REQ-OOS-03","SRC-SPEC§2.3#row-03","Extension hỗ trợ lướt X nằm ngoài phạm vi","XN","OOS","OUT_OF_SCOPE","scope","","PC07",""
"REQ-OOS-04","SRC-SPEC§2.3#row-04","Chia sẻ trong sản phẩm nằm ngoài phạm vi; chia sẻ là copy link ra ngoài","XN","OOS","OUT_OF_SCOPE","scope","","PC07","Theo REQ-D02"
"REQ-OOS-05","SRC-SPEC§2.3#row-05","Sửa tag hoặc cấu hình qua chat Telegram nằm ngoài phạm vi","XN","OOS","OUT_OF_SCOPE","telegram","B10","PC07","Lặp lại ở REQ-S11.3-05; giới hạn tập lệnh Telegram"
"REQ-OOS-06","SRC-SPEC§2.3#row-06","AI đánh giá tính mới khoa học của công trình nằm ngoài phạm vi","XN","OOS","OUT_OF_SCOPE","ai","B14;B16","PC06","Theo REQ-D54; nhãn chỉ là ứng viên để đọc sâu"
"REQ-A1","SRC-SPEC:A1","Phiên Chrome đăng nhập X thu thập được đều đặn ở mức đủ dùng; kiểm chứng bằng chạy thật 5-10 đợt, ghi số bài lấy được và số lần bị đòi xác minh","KC","P0","MVP","assumption","B05;B12","PC05;PC09","Chặn M0; bằng chứng E3 chưa có nên ghi NOT_RUN; cổng SP1"
"REQ-A2","SRC-SPEC:A2","Ngưỡng tương đồng embedding tách được bài khớp tag khỏi bài không khớp; kiểm chứng bằng gán nhãn tay 50-100 bài rồi dò ngưỡng","KC","P0","MVP","assumption","","PC04;PC09","Tập dò ngưỡng phải tách khỏi tập đánh giá; rubric khóa trước tuning"
"REQ-A3","SRC-SPEC:A3","Model embedding đa ngôn ngữ đủ tốt trên thuật ngữ khoa học; so với model chỉ tiếng Anh trên cùng tập thử","KC","P0","MVP","assumption","","PC04;PC09","Gắn REQ-D59 và REQ-OQ09"
"REQ-A4","SRC-SPEC:A4","Mật độ vector phát hiện được hướng đang nổi thật, không phải nhiễu; đọc lại 3-4 kỳ báo cáo và đối chiếu đánh giá của người dùng","KC","P0","MVP","assumption","B14","PC04;PC09","Thiếu 3-4 kỳ thì ghi chưa đủ bằng chứng, không chỉnh số để pass"
"REQ-A5","SRC-SPEC:A5","Điều khoản từng nhà AI cho đường CLI/ACP; đọc tài liệu chính thức của chính nhà đó trước khi bật","KC","P0","MVP","assumption","B13","PC06","Không được suy ra từ tên ACP rằng mọi CLI tương thích"
"REQ-A6","SRC-SPEC:A6","Nhịp gọi arXiv và yêu cầu của OpenAlex; đọc tài liệu chính thức khi triển khai","KC","P0","MVP","assumption","","PC05","Trùng REQ-D34 và REQ-S13.2-01"
