"req_id","req_status","priority","contract_refs","invariant_refs","scenario_refs","error_refs","evidence_level","coverage_status","notes","executed_evidence"
"REQ-D32","XN","P0","contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/ports.yaml;contracts/schemas/worker-assignment.schema.json;precode/baseline.json","I11","SC39","CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE","E2","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01)","PARTIAL_E1_E2: SC39"
"REQ-D33","ĐX","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/ingest-batch.schema.json;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/schemas/target.schema.json;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I11;I13","SC11;SC29","AI_OUTPUT_INVALID;CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE;VALIDATION_ERROR","E4","COVERED","blocked_by B06 — RATIFIED (OD-20260907-01) · fixture: b-post-only-missing-ids.json","E1: SC29"
"REQ-D34","XN","P0","contracts/data/entities.yaml;contracts/ops/collector-probe.md;contracts/ops/internet-boundary.md;contracts/ports.yaml;precode/baseline.json;precode/decision-register.md","I11","SC39","CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE","E2","COVERED","XN 2026-09-07 theo OD-20260907-04 mục 2 (AUTH-OWNER-20260907-05): đồng bộ với precode/requirements.csv. Được giải BẰNG TÀI LIỆU, không bằng phép đo — bốn dữ kiện đọc từ tài liệu chính thức ngày 2026-09-07, xem precode/decision-register.md §8.13.2 và evidence/handoffs/PC03-REQA6-handoff.md. CẢNH BÁO TIỀN ĐỀ SAI: cụm yêu cầu email liên hệ của OpenAlex trong text_vi của dòng này là TRÍCH NGUYÊN VĂN SRC-SPEC:D34 và tiền đề đó KHÔNG đúng với tài liệu hiện hành — OpenAlex không đòi email liên hệ, không còn quy ước mailto/polite pool/User-Agent, api_key là TÙY CHỌN. XN ở đây nghĩa là NGHĨA VỤ ĐỌC TÀI LIỆU ĐÃ XONG, KHÔNG phải tiền đề đã đúng; sửa câu chữ đặc tả cần một AMD ở precode/decision-register.md §3 (đã báo Coordinator, chưa ai được giao). Nửa nhịp gọi đã có số: arXiv 1 request/3 giây và 1 kết nối; OpenAlex 100 request/giây. Nhãn DOCS_derived của contracts/retry-policy.yaml v0.8.0 hết hiệu lực khi nguồn đổi chính sách, nên XN này có hạn dùng.","PARTIAL_E1_E2: SC39"
"REQ-D10","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/run.yaml;precode/baseline.json","I01;I10;I13;I15","SC01;SC33","CONFLICT;RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","fixture: i-run-now-while-active.json","E2: SC33"
"REQ-D11","ĐX","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I02;I10;I15","SC01;SC20","RESTORE_UNVERIFIED;STALE_LEASE;STORAGE_WRITE_FAILED;UNAUTHORIZED;WORKER_LEASE_EXPIRED","E2","COVERED","blocked_by B12 — RATIFIED (OD-20260907-01)","E2: SC20"
"REQ-D12","ĐX","P0","contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ops/deployment.md;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","","","","E0","PARTIAL","blocked_by B04 — RATIFIED (OD-20260907-01) · có hợp đồng, chưa có scenario",""
"REQ-D13","XN","P0","contracts/data/entities.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/run.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I06;I10;I13;I15","SC01;SC02;SC34","RESTORE_UNVERIFIED;STORAGE_WRITE_FAILED;UNAUTHORIZED;VALIDATION_ERROR","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: f-three-offline-periods-one-catchup.json j-dst-boundary-occurrences.json","E2: SC34"
"REQ-D14","UQ","P0","contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I02;I10;I13","SC33;SC35","CONFLICT;STALE_LEASE;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","AMD-B02 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: i-run-now-while-active.json k-cancel-from-every-non-terminal.json","E2: SC33"
"REQ-D15","ĐX","P0","contracts/data/entities.yaml;contracts/ports.yaml;contracts/retry-policy.yaml;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md","I06;I13","SC02","STORAGE_WRITE_FAILED","E2","COVERED","AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: f-three-offline-periods-one-catchup.json","PARTIAL_E1_E2: SC02"
"REQ-D16","ĐX","P0","contracts/ports.yaml;contracts/retry-policy.yaml;contracts/state/run.yaml;contracts/telegram/delivery.md;precode/baseline.json;precode/decision-register.md","I06;I13","SC02","STORAGE_WRITE_FAILED","E2","COVERED","fixture: f-three-offline-periods-one-catchup.json","PARTIAL_E1_E2: SC02"
"REQ-CTAG","XN","P0","contracts/errors.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/state/report.yaml;precode/baseline.json;precode/decision-register.md","I05;I09","SC05;SC19","TAG_VERSION_STALE;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED","E2","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-tag-removed-before-publish.json c-tag-changed-after-publish-before-send.json","E1: SC05"
"REQ-D22","ĐX","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/reporting/selection.md;contracts/schemas/analysis-result.schema.json;contracts/schemas/saved-snapshot.schema.json;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","fixture: a-happy-path-schedule-to-delivered.json b-instruction-injection-in-post.json","PARTIAL_E1_E2: SC50"
"REQ-D23","ĐX","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/report.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I05;I09","SC05;SC19","TAG_VERSION_STALE;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED","E2","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-tag-removed-before-publish.json c-tag-changed-after-publish-before-send.json","E1: SC05"
"REQ-D24","UQ","P0","contracts/http/openapi.yaml;contracts/ops/collector-probe.md;contracts/reporting/time-and-tags.md;contracts/schemas/ingest-batch.schema.json;contracts/schemas/worker-assignment.schema.json;contracts/state/run.yaml;precode/baseline.json;precode/decision-register.md","I05","SC05","TAG_VERSION_STALE;UNAUTHORIZED","E1","COVERED","AMD-B01 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-tag-removed-before-publish.json","E1: SC05"
"REQ-D46","XN","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/ui/screens.yaml;precode/baseline.json","I01;I02;I04;I05;I06;I07;I09;I11;I12;I13;I16","SC50;SC51","AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","fixture: a-happy-path-schedule-to-delivered.json sc51-first-time-setup.json","PARTIAL_E1_E2: SC50;SC51"
"REQ-D47","KC","P0","contracts/data/entities.yaml;contracts/reporting/selection.md;contracts/ui/screens.yaml;precode/baseline.json","","","","E0","PARTIAL","KC: cần đo thật, phê chuẩn không thay thế được phép đo · có hợp đồng, chưa có scenario",""
"REQ-D48","XN","P0","contracts/ai/grounding.md;contracts/ai/providers.yaml;contracts/ai/tasks.yaml;contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/modules.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/schemas/analysis-result.schema.json;contracts/ui/screens.yaml;precode/baseline.json","I05;I06;I11;I12;I14","SC16;SC24;SC52","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CAPABILITY_DENIED;CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E3","COVERED","fixture: k-zero-api-key-all-tasks-via-cli.json l-embedding-generation-switch-blocked.json n-embedding-generation-switch-positive.json","E2: SC24"
"REQ-D49","UQ","P0","contracts/reporting/selection.md;precode/baseline.json","I05;I06;I12","SC24;SC52","CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E2","COVERED","fixture: n-embedding-generation-switch-positive.json","E2: SC24"
"REQ-D59","UQ","P0","contracts/ports.yaml;contracts/reporting/selection.md;precode/baseline.json","I05;I06;I12","SC24;SC52","CONFLICT;EMBEDDING_GENERATION_MISMATCH;STORAGE_WRITE_FAILED;TAG_VERSION_STALE","E2","COVERED","fixture: n-embedding-generation-switch-positive.json","E2: SC24"
"REQ-D17","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/data/invariants.md;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/ingest-receipt.schema.json;contracts/schemas/target.schema.json;precode/baseline.json;precode/decision-register.md","I03;I04;I05;I07;I17","SC07;SC23;SC29;SC30","CONFLICT;IDENTITY_CONFLICT;SOURCE_METADATA_UNAVAILABLE;VALIDATION_ERROR","E1","COVERED","AMD-B15 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-merge-doi-arxiv.json c-identity-conflict.json g-arxiv-version-v1-v2.json h-five-posts-thread-one-target.json","E1: SC29"
"REQ-D18","ĐX","P1","precode/baseline.json;precode/decision-register.md","","","","E0","DEFERRED_P1","",""
"REQ-D19","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;precode/baseline.json;precode/decision-register.md","I05;I06;I16","SC10;SC22","AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CONFLICT;TELEGRAM_SEND_UNCERTAIN","E4","COVERED","AMD-B17 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: e-late-analysis-pending-then-late-discovery.json sc10-same-analysis-revision-app-and-telegram.json","PARTIAL_E1_E2: SC10;SC22"
"REQ-D20","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/analysis.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I05;I08;I11;I13;I16","SC10;SC11;SC48","AI_OUTPUT_INVALID;CAPABILITY_DENIED;CONFLICT;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE;TELEGRAM_SEND_UNCERTAIN;VALIDATION_ERROR","E4","COVERED","AMD-B16 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: a-post-only-summary-inference-labelled.json sc10-same-analysis-revision-app-and-telegram.json","E1: SC48"
"REQ-D21","ĐX","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/data/identity.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/schemas/analysis-result.schema.json;contracts/schemas/report.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/analysis.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I05;I11;I13;I16","SC10;SC11;SC29","AI_OUTPUT_INVALID;CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE;TELEGRAM_SEND_UNCERTAIN;VALIDATION_ERROR","E4","COVERED","fixture: a-post-only-summary-inference-labelled.json b-post-only-missing-ids.json sc10-same-analysis-revision-app-and-telegram.json","E1: SC29"
"REQ-D25","XN","P0","contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/analysis-result.schema.json;contracts/state/analysis.yaml;precode/baseline.json;precode/decision-register.md","I04;I05;I14;I16","SC06;SC28;SC54","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CONFLICT;IDEMPOTENCY_CONFLICT","E2","COVERED","AMD-B07 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: b-tag-removed-then-readded-reuse-analysis.json g-arxiv-version-v1-v2.json j-same-key-resubmitted-one-result.json","E2: SC28"
"REQ-D26","ĐX","P0","contracts/ai/tasks.yaml;contracts/data/entities.yaml;contracts/data/identity.md;contracts/data/invariants.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/analysis-result.schema.json;contracts/state/analysis.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I04;I05;I14;I16","SC06;SC28;SC30;SC54","AI_ATTEMPT_UNCERTAIN;AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CONFLICT;IDEMPOTENCY_CONFLICT;IDENTITY_CONFLICT","E2","COVERED","AMD-B07 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: b-tag-removed-then-readded-reuse-analysis.json g-arxiv-version-v1-v2.json","E2: SC28"
"REQ-D27","XN","P0","contracts/data/entities.yaml;contracts/errors.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/report.yaml;precode/baseline.json;precode/decision-register.md","I05;I06;I12","SC08","CONFLICT;EMBEDDING_GENERATION_MISMATCH;TAG_VERSION_STALE","E2","COVERED","AMD-B04, AMD-B08 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-empty-period-coverage-only.json f-three-offline-periods-one-catchup.json g-concurrent-publishers-cas.json k-builder-crash-backfill-not-consumed.json","E2: SC08"
"REQ-D28","XN","P0","contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/report.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I05;I06","SC22;SC37;SC38","AI_OUTPUT_INVALID;AI_PROVIDER_UNAVAILABLE;CONFLICT;INTERNAL;STORAGE_WRITE_FAILED;VALIDATION_ERROR","E2","COVERED","AMD-B04 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: j-backfill-add-remove-readd.json k-builder-crash-backfill-not-consumed.json","E2: SC37;SC38"
"REQ-D29","XN","P0","contracts/data/entities.yaml;contracts/data/identity.md;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/schemas/saved-snapshot.schema.json;contracts/state/report.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I03;I04;I05;I07;I17","SC09;SC30","CONFLICT;IDENTITY_CONFLICT","E2","COVERED","AMD-B15 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: h-already-announced-work-becomes-reference.json i-identity-merge-single-first-announced.json","PARTIAL_E1_E2: SC09;SC30"
"REQ-D30","UQ","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/ui/screens.yaml;precode/baseline.json","I05;I07;I17","SC09","CONFLICT;IDENTITY_CONFLICT","E2","COVERED","fixture: h-already-announced-work-becomes-reference.json","PARTIAL_E1_E2: SC09"
"REQ-D45","UQ","P0","contracts/http/openapi.yaml;contracts/ports.yaml;contracts/ui/screens.yaml;precode/baseline.json","","","","E0","PARTIAL","có hợp đồng, chưa có scenario",""
"REQ-D52","XN","P0","contracts/reporting/selection.md;precode/baseline.json;precode/decision-register.md;precode/owner-decision-request.md","","","","E0","PARTIAL","blocked_by B14 — RATIFIED (OD-20260907-01) · phủ bằng cổng G7 (precode/gates.yaml), không bằng scenario · có hợp đồng, chưa có scenario",""
"REQ-D53","ĐX","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I02;I04;I05;I06;I07;I09;I12;I13;I16","SC50","AI_OUTPUT_INVALID;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN","E2","COVERED","blocked_by B14 — RATIFIED (OD-20260907-01) · fixture: a-happy-path-schedule-to-delivered.json m-density-worked-example.json","PARTIAL_E1_E2: SC50"
"REQ-D54","XN","P0","contracts/ai/grounding.md;contracts/ai/tasks.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/reporting/selection.md;contracts/schemas/analysis-result.schema.json;contracts/schemas/report.schema.json;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I02;I03;I04;I05;I06;I07;I09;I11;I12;I13;I16","SC11;SC50","AI_OUTPUT_INVALID;CAPABILITY_DENIED;RATE_LIMITED;SOURCE_METADATA_UNAVAILABLE;STORAGE_WRITE_FAILED;TELEGRAM_SEND_UNCERTAIN;VALIDATION_ERROR","E4","COVERED","blocked_by B14;B16 — RATIFIED (OD-20260907-01) · fixture: a-happy-path-schedule-to-delivered.json m-density-worked-example.json","PARTIAL_E1_E2: SC11;SC50"
"REQ-D57","UQ","P0","contracts/data/entities.yaml;contracts/ports.yaml;contracts/reporting/time-and-tags.md;contracts/schemas/report.schema.json;contracts/state/delivery.yaml;contracts/state/report.yaml;contracts/state/run.yaml;contracts/telegram/delivery.md;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I05;I06;I09;I12;I13","SC08;SC15","CONFLICT;EMBEDDING_GENERATION_MISMATCH;NOT_FOUND;SOURCE_LAYOUT_CHANGED;STORAGE_WRITE_FAILED;TAG_VERSION_STALE;X_ACCESS_BLOCKED","E4","COVERED","AMD-B04 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-empty-period-coverage-only.json m-three-run-states-distinct-text.json","E2: SC08"
"REQ-D35","XN","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/state/delivery.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I01;I09;I11;I12","SC18;SC25;SC47;SC51","AI_PROVIDER_UNAVAILABLE;CSRF_REJECTED;FORBIDDEN_EDGE;RATE_LIMITED;TELEGRAM_PERMANENT_FAILURE;UNAUTHORIZED;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E3","COVERED","AMD-B09 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: e-relink-old-generation-cancelled.json g-link-code-used-twice.json i-unknown-chat-valid-code-format.json sc51-first-time-setup.json","E2: SC18;SC47"
"REQ-D36","XN","P0","contracts/capabilities.yaml;contracts/data/entities.yaml;contracts/errors.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/state/delivery.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I10;I13","SC33;SC45","CONFLICT;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","AMD-B10 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: i-run-now-while-active.json l-run-now-while-needs-user.json","E2: SC33"
"REQ-D37","ĐX","P0","contracts/data/entities.yaml;contracts/http/openapi.yaml;contracts/ports.yaml;contracts/state/delivery.yaml;contracts/telegram/commands.yaml;contracts/ui/screens.yaml;precode/baseline.json;precode/decision-register.md","I09;I11","SC18;SC25;SC47","CSRF_REJECTED;FORBIDDEN_EDGE;RATE_LIMITED;TELEGRAM_PERMANENT_FAILURE;UNAUTHORIZED_COMMAND;VALIDATION_ERROR","E2","COVERED","AMD-B10 RATIFIED (OD-20260907-01); văn bản cam kết đã chốt · fixture: d-unlink-before-send-cancelled.json e-relink-old-generation-cancelled.json","E2: SC18;SC47"
